Series Key,SEDS.CLTCB.CO.A,Series Key,SEDS.NNTCB.CO.A,Series Key,SEDS.NUETB.CO.A,Series Key,SEDS.PMTCB.CO.A,Series Key,SEDS.RETCB.CO.A,Series Key,SEDS.ELISB.CO.A,Series Key,SEDS.ELNIB.CO.A
Series Name,"SEDS.CLTCB.CO.A, annual",Series Name,"SEDS.NNTCB.CO.A, annual",Series Name,"SEDS.NUETB.CO.A, annual",Series Name,"SEDS.PMTCB.CO.A, annual",Series Name,"SEDS.RETCB.CO.A, annual",Series Name,"SEDS.ELISB.CO.A, annual",Series Name,"SEDS.ELNIB.CO.A, annual"
Units,Billion Btu,Units,Billion Btu,Units,Billion Btu,Units,Billion Btu,Units,Billion Btu,Units,Billion Btu,Units,Billion Btu
Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A
Start Date,2021,Start Date,2021,Start Date,2021,Start Date,2020,Start Date,2020,Start Date,2020,Start Date,2021
End Date,1960,End Date,1960,End Date,1960,End Date,1960,End Date,1960,End Date,1960,End Date,1960
Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration"
,,,,,,,,,,,,,
2021,252442,2021,526513,2021,0,,,,,,,2021,0
2020,217082,2020,552271,2020,0,2020,440241,2020,194308,2020,47583,2020,0
2019,273338,2019,553842,2019,0,2019,528182,2019,178109,2019,33488,2019,0
2018,284474,2018,518088,2018,0,2018,515112,2018,166032,2018,43585,2018,2
2017,315835,2017,462135,2017,0,2017,492748,2017,162098,2017,44478,2017,0
2016,321476,2016,464749,2016,0,2016,484909,2016,158924,2016,40250,2016,0
2015,340107,2015,490642,2015,0,2015,482498,2015,133731,2015,54027,2015,2
2014,350526,2014,497182,2014,0,2014,483105,2014,131187,2014,32046,2014,-23
2013,363532,2013,480875,2013,0,2013,466883,2013,122932,2013,43896,2013,-4
2012,370085,2012,456471,2012,0,2012,459711,2012,108557,2012,51295,2012,-5
2011,368871,2011,477208,2011,0,2011,464964,2011,107916,2011,59595,2011,-26
2010,382623,2010,505628,2010,0,2010,483698,2010,82452,2010,62714,2010,-11
2009,350224,2009,525999,2009,0,2009,466476,2009,78361,2009,44435,2009,0
2008,385416,2008,508491,2008,0,2008,486432,2008,77382,2008,29764,2008,-5
2007,388586,2007,512841,2007,0,2007,513431,2007,50618,2007,18375,2007,-1
2006,394348,2006,458911,2006,0,2006,506709,2006,42230,2006,49135,2006,4
2005,386670,2005,478520,2005,0,2005,489645,2005,35559,2005,45290,2005,21
2004,390186,2004,440720,2004,0,2004,490984,2004,29099,2004,48446,2004,127
2003,394163,2003,436873,2003,0,2003,457424,2003,28795,2003,54902,2003,7
2002,390480,2002,457708,2002,0,2002,434502,2002,27045,2002,60778,2002,23
2001,400028,2001,464062,2001,0,2001,453248,2001,30472,2001,21935,2001,123
2000,387879,2000,366094,2000,0,2000,438600,2000,31999,2000,44031,2000,39
1999,364236,1999,330896,1999,0,1999,412819,1999,32395,1999,65738,1999,8
1998,364889,1998,328897,1998,0,1998,402345,1998,31402,1998,57168,1998,4
1997,362423,1997,311900,1997,0,1997,371516,1997,38515,1997,53701,1997,147
1996,350712,1996,315855,1996,0,1996,391154,1996,35801,1996,48655,1996,0
1995,344201,1995,288383,1995,0,1995,377856,1995,36531,1995,44957,1995,0
1994,359375,1994,272152,1994,0,1994,371844,1994,29288,1994,32745,1994,0
1993,347233,1993,286366,1993,0,1993,364253,1993,33636,1993,31439,1993,0
1992,339652,1992,259036,1992,0,1992,340901,1992,28988,1992,27116,1992,0
1991,330609,1991,268787,1991,0,1991,331410,1991,32617,1991,31427,1991,0
1990,337375,1990,232296,1990,0,1990,326470,1990,27106,1990,21053,1990,0
1989,323462,1989,240556,1989,5600,1989,320489,1989,30873,1989,-5853,1989,0
1988,311372,1988,218567,1988,6994,1988,336407,1988,32649,1988,-6626,1988,0
1987,296539,1987,201536,1987,1812,1987,333845,1987,32433,1987,-3,1987,0
1986,295376,1986,190320,1986,550,1986,334033,1986,44294,1986,-5130,1986,0
1985,299070,1985,209799,1985,-337,1985,326922,1985,43210,1985,-8915,1985,0
1984,286888,1984,220950,1984,598,1984,325731,1984,39837,1984,-6287,1984,0
1983,254698,1983,207120,1983,8162,1983,319872,1983,35857,1983,5721,1983,0
1982,276433,1982,216115,1982,6299,1982,308533,1982,32043,1982,-6330,1982,0
1981,278732,1981,201432,1981,8261,1981,301714,1981,28752,1981,-2580,1981,0
1980,247615,1980,244771,1980,7273,1980,327783,1980,28582,1980,-17935,1980,0
1979,238041,1979,260824,1979,2316,1979,340605,1979,33170,1979,-18924,1979,0
1978,218619,1978,234600,1978,6664,1978,375010,1978,29391,1978,-14037,1978,0
1977,223762,1977,253994,1977,2421,1977,355019,1977,23658,1977,-23757,1977,0
1976,185147,1976,276287,1976,0,1976,344788,1976,23636,1976,-11060,1976,0
1975,159333,1975,280996,1975,0,1975,326510,1975,24728,1975,-7129,1975,0
1974,138302,1974,302725,1974,0,1974,322973,1974,24207,1974,-1102,1974,0
1973,140487,1973,311694,1973,0,1973,327648,1973,23623,1973,-1522,1973,0
1972,119005,1972,301651,1972,0,1972,311194,1972,22935,1972,1540,1972,0
1971,105682,1971,281846,1971,0,1971,287557,1971,25526,1971,-8702,1971,0
1970,115688,1970,274987,1970,0,1970,273380,1970,21329,1970,-7762,1970,0
1969,104487,1969,268895,1969,0,1969,263952,1969,18181,1969,-6638,1969,0
1968,112995,1968,253481,1968,0,1968,251339,1968,17248,1968,-12293,1968,0
1967,107862,1967,210209,1967,0,1967,231730,1967,16908,1967,-11222,1967,0
1966,109021,1966,207693,1966,0,1966,212419,1966,17380,1966,-14591,1966,0
1965,98117,1965,204483,1965,0,1965,198500,1965,16369,1965,-8783,1965,0
1964,89600,1964,205251,1964,0,1964,195500,1964,17865,1964,-10162,1964,0
1963,88958,1963,180366,1963,0,1963,189938,1963,17410,1963,-10743,1963,0
1962,79296,1962,202310,1962,0,1962,183671,1962,17144,1962,-14073,1962,0
1961,76938,1961,210872,1961,0,1961,174643,1961,15464,1961,-16168,1961,0
1960,68206,1960,194963,1960,0,1960,161701,1960,16914,1960,-17229,1960,0